Data,Cliques,Impressões,CTR,Posição
2026-03-20,0,25,0%,6.3
2026-03-21,0,27,0%,6.7
2026-03-22,0,12,0%,14.8
2026-03-23,0,23,0%,10.8
2026-03-24,1,17,5.88%,5.4
2026-03-25,0,12,0%,19.2
2026-03-26,1,32,3.12%,5.8
2026-03-27,0,34,0%,7.2
2026-03-28,0,17,0%,7.1
2026-03-29,0,11,0%,8.1
2026-03-30,0,31,0%,5.7
2026-03-31,0,26,0%,6.1
2026-04-01,0,23,0%,6.1
2026-04-02,1,37,2.7%,4.1
2026-04-03,0,17,0%,4.6
2026-04-04,0,28,0%,6.9
2026-04-05,0,4,0%,12.8
2026-04-06,1,37,2.7%,6.2
2026-04-07,3,31,9.68%,7.1
2026-04-08,1,27,3.7%,7.7
2026-04-09,2,26,7.69%,9.2
2026-04-10,0,38,0%,6.5
2026-04-11,0,26,0%,7.7
2026-04-12,0,11,0%,6.2
2026-04-13,1,37,2.7%,5.8
2026-04-14,0,36,0%,5.3
2026-04-15,1,22,4.55%,5.6
2026-04-16,0,29,0%,5.1
2026-04-17,0,12,0%,7.9
2026-04-18,1,45,2.22%,4.6
2026-04-19,1,3,33.33%,5
2026-04-20,3,36,8.33%,5.1
2026-04-21,0,15,0%,4.9
2026-04-22,0,25,0%,6.4
2026-04-23,0,22,0%,5.3
2026-04-24,0,33,0%,5.5
2026-04-25,1,26,3.85%,9.6
2026-04-26,0,8,0%,6.9
2026-04-27,0,32,0%,7
2026-04-28,0,36,0%,6.3
2026-04-29,0,24,0%,8.1
2026-04-30,0,30,0%,7.2
2026-05-01,1,27,3.7%,4.9
2026-05-02,0,45,0%,5.8
2026-05-03,0,74,0%,3.9
2026-05-04,0,48,0%,7.6
2026-05-05,0,39,0%,5.7
2026-05-06,1,26,3.85%,5.4
2026-05-07,0,33,0%,5.5
2026-05-08,1,52,1.92%,5.5
2026-05-09,1,33,3.03%,7
2026-05-10,0,16,0%,5.8
2026-05-11,0,23,0%,5.5
2026-05-12,0,33,0%,6.3
2026-05-13,0,35,0%,9
2026-05-14,0,30,0%,3.8
2026-05-15,1,44,2.27%,5
2026-05-16,0,26,0%,5.9
2026-05-17,0,23,0%,5
2026-05-18,0,57,0%,5.1
2026-05-19,0,48,0%,7.3
2026-05-20,0,47,0%,6.2
2026-05-21,2,45,4.44%,5.8
2026-05-22,0,39,0%,5.7
2026-05-23,0,44,0%,6.8
2026-05-24,0,43,0%,5.3
2026-05-25,0,49,0%,5.3
2026-05-26,0,44,0%,8.2
2026-05-27,0,52,0%,6.9
2026-05-28,0,52,0%,6.2
2026-05-29,0,67,0%,7
2026-05-30,0,50,0%,6
2026-05-31,2,19,10.53%,10.4
2026-06-01,0,58,0%,5.9
2026-06-02,1,46,2.17%,5.8
2026-06-03,1,41,2.44%,5.2
2026-06-04,0,31,0%,5.7
2026-06-05,0,68,0%,6
2026-06-06,0,53,0%,13
2026-06-07,0,21,0%,7.3
2026-06-08,0,25,0%,8.1
2026-06-09,1,37,2.7%,7.6
2026-06-10,0,50,0%,6.5
2026-06-11,2,81,2.47%,6.4
2026-06-12,0,36,0%,10.5
2026-06-13,0,61,0%,5.6
2026-06-14,2,42,4.76%,5.9
2026-06-15,1,78,1.28%,4.7
2026-06-16,0,67,0%,6.2
2026-06-17,0,54,0%,5.7
2026-06-18,0,45,0%,4.8
2026-06-19,0,54,0%,7.9
2026-06-20,0,61,0%,6.4
2026-06-21,0,26,0%,6.3
2026-06-22,0,36,0%,4.6
2026-06-23,0,36,0%,4.8
2026-06-24,1,32,3.12%,6
2026-06-25,1,27,3.7%,4.8
2026-06-26,0,23,0%,7.2
2026-06-27,0,29,0%,7
2026-06-28,0,74,0%,6.6
2026-06-29,0,67,0%,9.2
2026-06-30,0,87,0%,6.7
2026-07-01,1,70,1.43%,7.2
2026-07-02,1,89,1.12%,5.7
2026-07-03,2,75,2.67%,7.2
2026-07-04,2,84,2.38%,5.5
2026-07-05,0,32,0%,5.5
2026-07-06,4,110,3.64%,5.2
2026-07-07,2,107,1.87%,5.4
2026-07-08,2,75,2.67%,5.9
2026-07-09,0,104,0%,5
2026-07-10,1,108,0.93%,6.1
2026-07-11,2,75,2.67%,6.1
2026-07-12,1,47,2.13%,5.4
2026-07-13,2,82,2.44%,5.5
2026-07-14,3,73,4.11%,6.3
2026-07-15,3,60,5%,7
2026-07-16,0,70,0%,7.3
2026-07-17,0,71,0%,6.1
2026-07-18,3,53,5.66%,4.7
2026-07-19,0,30,0%,6.9
2026-07-20,1,68,1.47%,6
2026-07-21,2,51,3.92%,7.9
2026-07-22,2,77,2.6%,5.6
2026-07-23,2,87,2.3%,5.7
2026-07-24,2,60,3.33%,5.8
2026-07-25,0,51,0%,5.1
2026-07-26,2,31,6.45%,5.7
2026-07-27,3,103,2.91%,6
2026-07-28,2,70,2.86%,5.9
2026-07-29,2,77,2.6%,6.2
2026-07-30,0,70,0%,5.4
2026-07-31,2,113,1.77%,5.5
2026-08-01,0,74,0%,6
2026-08-02,1,46,2.17%,6.7
2026-08-03,3,71,4.23%,6.5
2026-08-04,2,69,2.9%,6
2026-08-05,2,76,2.63%,5.9
2026-08-06,4,102,3.92%,5.2
2026-08-07,5,97,5.15%,5.5
2026-08-08,2,86,2.33%,5.2
2026-08-09,1,19,5.26%,8.9
2026-08-10,5,95,5.26%,6
2026-08-11,5,131,3.82%,5.4
2026-08-12,3,82,3.66%,4.9
2026-08-13,0,90,0%,6.7
2026-08-14,1,103,0.97%,6.1
2026-08-15,0,67,0%,6
2026-08-16,0,39,0%,7.1
2026-08-17,5,85,5.88%,6.1
2026-08-18,3,95,3.16%,5.4
2026-08-19,0,70,0%,5.8
2026-08-20,2,94,2.13%,6.6
2026-08-21,2,83,2.41%,6.7
2026-08-22,0,72,0%,5.9
2026-08-23,1,43,2.33%,5.4
2026-08-24,1,86,1.16%,5.6
2026-08-25,2,80,2.5%,6.9
2026-08-26,2,93,2.15%,5.4
2026-08-27,4,82,4.88%,4.6
2026-08-28,1,69,1.45%,5.2
2026-08-29,3,78,3.85%,5.6
2026-08-30,1,51,1.96%,5.2
2026-08-31,2,57,3.51%,5.6
2026-09-01,1,74,1.35%,5.6
2026-09-02,4,110,3.64%,11.3
2026-09-03,2,83,2.41%,5.4
2026-09-04,0,88,0%,5.7
2026-09-05,8,123,6.5%,5
2026-09-06,1,41,2.44%,4.5
2026-09-07,2,37,5.41%,4.4
2026-09-08,1,82,1.22%,5.7
2026-09-09,4,91,4.4%,5.4
2026-09-10,1,68,1.47%,5.8
2026-09-11,1,89,1.12%,5.5
